"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity"
"118I3ivtpJl7WVJ5ktlxJp","Unfinished Music No. 1: Two Virgins","https://i.scdn.co/image/0959dcc8641688a3f5607256db2425a4b6aec865","1968-11-29",1968,18,"Two Virgins: Side One","0UkSPeViNjGpqbrm3EmBjk",0.34,0.579,"G",-11.48,"major",0.174,0.909,0.547,0.138,0.233,134.695,857107,3,"G major",18
"118I3ivtpJl7WVJ5ktlxJp","Unfinished Music No. 1: Two Virgins","https://i.scdn.co/image/0959dcc8641688a3f5607256db2425a4b6aec865","1968-11-29",1968,18,"Two Virgins: Side Two","20NqoHchoFPgb2fdnJde5g",0.319,0.36,"G#",-13.577,"major",0.0519,0.926,0.765,0.128,0.0508,121.161,885187,3,"G# major",12
"118I3ivtpJl7WVJ5ktlxJp","Unfinished Music No. 1: Two Virgins","https://i.scdn.co/image/0959dcc8641688a3f5607256db2425a4b6aec865","1968-11-29",1968,18,"Remember Love (Bonus Track)","5SZtve0VaV5e3GSpNZSdaC",0.511,0.0722,"D",-23.058,"major",0.0326,0.853,2.43e-05,0.112,0.182,141.881,243133,4,"D major",25
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"Cambridge 1969","40F9B2OfwaSi1agS5ynlsj",0.167,0.643,"E",-9.259,"major",0.0588,0.944,0.288,0.0885,0.0493,102.233,1592480,3,"E major",20
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"No Bed for Beatle John","7auzCvfn20Nw6u3jEACvIa",0.526,0.0509,"C#",-17.463,"major",0.076,0.983,0,0.45,0.269,104.45,280693,5,"C# major",15
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"Baby’s Heartbeat","7kAKHDNNrQxjvYCDDyVeaW",0.231,0.827,"D#",-19.032,"major",0.124,0.981,0.582,0.247,0.276,148.662,309947,4,"D# major",10
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"Two Minutes Silence","4SqC6Nngj4nFqncKzFIQi5",0,0,"C",-60,"minor",0,0,0,0,0,0,119947,0,"C minor",9
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"Radio Play","2PRKGmFFeT7x71Sa3ilxRe",0.705,0.992,"E",-12.361,"major",0.398,0.811,0.692,0.11,0.0252,103.324,759960,4,"E major",9
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"Song for John (Bonus Track)","30hcDPB7i1eldJ27z0fcIH",0.622,0.149,"F#",-19.301,"minor",0.06,0.991,0.00111,0.262,0.569,144.596,90947,4,"F# minor",14
"0NDlrEsyJTxrYtxZRC5at1","Unfinished Music No. 2: Life With The Lions","https://i.scdn.co/image/1eb599a2dd288985f90e964d953d79549952d2b7","1969-05-09",1969,17,"Mulberry (Bonus Track)","5OF88i7OE4YFL5y2CmzKho",0.432,0.234,"G#",-14.875,"minor",0.0492,0.96,0.71,0.139,0.16,84.551,537680,4,"G# minor",10
"0DFYbYCcHCEJPcN1hODG6K","Plastic Ono Band","https://i.scdn.co/image/c6ab1287e59335a8df6b97891d94110a77a83975","1970-12-11",1970,55,"Mother - Remastered 2010","43Ud1IajwtBvw6ONj6aK2Q",0.532,0.347,"C",-13.696,"major",0.05,0.013,0.133,0.0578,0.426,135.935,336307,4,"C major",51
