"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity"
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Off The Ground","7xZUXvawGACaed81fqvic9",0.537,0.748,"G",-9.423,"major",0.0327,0.145,0.000534,0.0849,0.788,83.129,220160,4,"G major",25
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Looking For Changes","1QR7TRvSsBBk5KmPENwIy6",0.553,0.822,"F",-9.142,"major",0.0309,0.0953,0,0.362,0.785,129.03,167067,4,"F major",22
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Hope Of Deliverance","3gcAVW0ZYaajy5PK9dAhut",0.638,0.786,"A",-10.915,"minor",0.0341,0.181,5.3e-06,0.104,0.812,159.996,202000,4,"A minor",42
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Mistress And Maid","4jFB3dNlGJ4J7qwwMVkrVY",0.524,0.502,"G",-10.071,"major",0.0252,0.272,6.04e-05,0.175,0.496,152.882,179573,3,"G major",22
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"I Owe It All To You","3dmwwgK60WpmJZNNjjLPmw",0.576,0.498,"C",-11.556,"major",0.0276,0.35,0.000165,0.117,0.467,111.619,291133,4,"C major",23
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Biker Like An Icon","4psoKAP3hPgMXnPXfuGI1Y",0.429,0.669,"E",-10.944,"minor",0.0368,0.0532,0.000336,0.15,0.722,171.839,206000,4,"E minor",22
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Peace In The Neighbourhood","5m1RaYaOqw1XHe31wgzcd2",0.648,0.571,"C",-11.959,"major",0.0249,0.153,4.73e-05,0.225,0.883,107.826,306333,4,"C major",21
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Golden Earth Girl","3YoUoGtmfi3aocfa4QCBjJ",0.475,0.241,"D",-13.934,"major",0.0263,0.415,7.15e-05,0.0936,0.181,76.072,224707,4,"D major",22
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"The Lovers That Never Were","4AfuMPkgrJOOkBsM8eCeTX",0.495,0.479,"G",-12.167,"major",0.027,0.11,4.5e-05,0.291,0.352,157.165,222893,3,"G major",22
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Get Out Of My Way","5lH6Br0bmKsQgVxbJWtEr6",0.521,0.774,"A",-9.259,"major",0.031,0.000824,0.0713,0.134,0.673,150.291,211907,4,"A major",20
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"Winedark Open Sea","0KVSt4qG5bIB70pnXb1vVT",0.551,0.399,"E",-13.083,"major",0.023,0.29,0.000103,0.439,0.264,81.623,326867,4,"E major",20
"2SfFLev1py5L7d0i1Pl3uV","Off The Ground","https://i.scdn.co/image/b11c13f81afbedd8fe885f3ce28f480819fdb344","1993-02-01",1993,36,"C'Mon People","5K8Tas7hRGq4yHOkTLrAb9",0.472,0.514,"F",-12.001,"major",0.0472,0.211,0.000407,0.329,0.117,142.65,462533,4,"F major",23
"2suKn8sS8VqZE6y9LXzbMO","Paul Is Live","https://i.scdn.co/image/402c4b164ff77286b1dc93b254ef3ebc389f97bd","1993-11-08",1993,43,"Drive My Car","6HtM9UzmrZW5Zzn2qyMZQU",0.565,0.792,"G",-9.681,"major",0.0735,0.0981,0,0.899,0.706,127.68,152760,4,"G major",28
"2suKn8sS8VqZE6y9LXzbMO","Paul Is Live","https://i.scdn.co/image/402c4b164ff77286b1dc93b254ef3ebc389f97bd","1993-11-08",1993,43,"Let Me Roll It","6hDGGQLcwuuGAJYSlNZrCx",0.378,0.718,"E",-10.955,"major",0.0416,0.049,0,0.961,0.51,78.06,252000,3,"E major",25
"2suKn8sS8VqZE6y9LXzbMO","Paul Is Live","https://i.scdn.co/image/402c4b164ff77286b1dc93b254ef3ebc389f97bd","1993-11-08",1993,43,"Looking For Changes","5VPXrRypuHZ1VqifeCBb7p",0.446,0.802,"F",-8.432,"major",0.0375,0.014,0,0.926,0.486,134.302,160840,4,"F major",20
